City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,dt
83,nome,64.5011,-165.4064,1.04,86,100,10.29,US,1667766640
84,airai,-8.9266,125.4092,15.49,75,96,1.17,TL,1667766725
85,torbay,47.6666,-52.7314,9.1,90,100,4.63,CA,1667766641
86,arraial do cabo,-22.9661,-42.0278,22.98,64,20,6.17,BR,1667766662
87,kutahya,39.4242,29.9833,11.62,38,100,0.51,TR,1667767018
88,barrow,71.2906,-156.7887,-8.99,79,100,10.29,US,1667766663
89,ribeira grande,38.5167,-28.7,19.22,72,40,6.69,PT,1667766744
90,codrington,-38.2667,141.9667,14.36,80,3,1.05,AU,1667766786
91,clarence town,-32.5833,151.7833,18.25,83,9,1.1,AU,1667767019
92,victoria,22.2855,114.1577,21.25,91,100,2.24,HK,1667766381
93,avarua,-21.2078,-159.775,25.03,61,20,2.57,CK,1667766660
94,castro,-24.7911,-50.0119,13.68,76,94,1.69,BR,1667766648
95,bluff,-46.6,168.3333,12.2,62,19,6.09,NZ,1667766647
96,yellowknife,62.456,-114.3525,-16.71,71,40,5.14,CA,1667766609
97,yenagoa,4.9247,6.2642,24.73,89,85,1.54,NG,1667767020
98,gazanjyk,39.2446,55.5154,8.83,62,99,4.68,TM,1667766933
99,ponta do sol,32.6667,-17.1,21.51,89,72,1.91,PT,1667766751
100,sembakung,3.8167,117.25,22.94,99,95,0.79,ID,1667767020
101,taoudenni,22.6783,-3.9836,26.74,12,0,4.99,ML,1667766735
102,paracuru,-3.41,-39.0306,27.28,77,31,5.09,BR,1667766657
103,lagoa,39.05,-27.9833,17.92,77,46,10.84,PT,1667766697
104,carnarvon,-24.8667,113.6333,19.17,75,100,7.63,AU,1667766703
105,faya,18.3851,42.4509,16.06,79,26,1.34,SA,1667766777
106,henties bay,-22.116,14.2845,21.54,58,100,9.76,NA,1667767021
107,shipitsyno,61.2806,46.5208,-2.46,91,100,3.1,RU,1667767022
108,hamilton,39.1834,-84.5333,23.15,40,0,5.66,US,1667766637
109,moron,-34.6534,-58.6198,26.0,66,4,5.54,AR,1667766820
110,sinnamary,5.3833,-52.95,26.28,85,61,3.03,GF,1667767022
111,kongoussi,13.3258,-1.5347,27.32,16,1,3.59,BF,1667767023
112,blythe,33.6103,-114.5964,26.69,20,0,1.54,US,1667766737
113,guerrero negro,27.9769,-114.0611,21.49,55,0,5.07,MX,1667766709
114,poltavka,54.3663,71.7632,-2.08,89,93,2.91,RU,1667767023
115,saint-jean-de-luz,43.3891,-1.6581,13.99,88,0,1.54,FR,1667767024
116,margate,51.3813,1.3862,11.73,92,1,2.24,GB,1667767024
117,lake charles,30.2131,-93.2044,30.12,70,75,6.69,US,1667766949
118,balakhninskiy,58.0106,114.2769,-6.91,97,100,1.51,RU,1667767025
119,kaka,37.3482,59.6143,11.4,87,100,2.94,TM,1667767025
120,voyvozh,62.892,54.9635,-1.65,92,100,2.02,RU,1667767026
121,poum,-20.2333,164.0167,25.82,78,1,2.93,NC,1667767026
122,ahipara,-35.1667,173.1667,17.49,61,42,5.93,NZ,1667766724
123,pochutla,15.7432,-96.4661,31.9,73,93,1.95,MX,1667767028
124,romitan,39.9343,64.3814,12.97,82,75,1.03,UZ,1667767028
125,kodiak,57.79,-152.4072,1.73,38,0,3.09,US,1667767028
126,kisangani,0.5167,25.2,20.46,98,100,0.79,CD,1667766770
127,pokhara,28.2333,83.9833,15.59,53,70,2.2,NP,1667767029
128,adrar,20.5022,-10.0711,25.27,15,80,3.39,MR,1667766781
129,yulara,-25.2406,130.9889,25.44,21,99,1.8,AU,1667766739
130,souillac,-20.5167,57.5167,23.21,73,40,3.6,MU,1667766706
131,pevek,69.7008,170.3133,-8.26,79,68,9.07,RU,1667766741
132,half moon bay,37.4636,-122.4286,18.03,59,40,5.14,US,1667767030
133,chuy,-33.6971,-53.4616,17.49,72,15,5.12,UY,1667766711
134,bathsheba,13.2167,-59.5167,28.34,83,75,6.17,BB,1667767030
135,talnakh,69.4865,88.3972,-5.21,96,100,3.56,RU,1667766657
136,butaritari,3.0707,172.7902,26.1,75,43,2.72,KI,1667766643
137,hurghada,27.2574,33.8129,22.02,56,0,0.0,EG,1667766974
138,normandin,48.8333,-72.5321,20.17,42,100,6.69,CA,1667767002
139,acapulco,16.8634,-99.8901,29.9,74,0,1.54,MX,1667766712
140,marovoay,-16.1,46.6333,25.4,76,0,0.85,MG,1667767031
141,kununurra,-15.7667,128.7333,24.99,78,11,0.0,AU,1667766974
142,new norfolk,-42.7826,147.0587,12.06,68,27,1.15,AU,1667766642
143,mehamn,71.0357,27.8492,1.97,75,0,5.66,NO,1667766682
144,upernavik,72.7868,-56.1549,-10.75,84,87,2.64,GL,1667766653
145,san matias,-16.3667,-58.4,33.85,23,0,2.12,BO,1667767032
146,naustdal,61.509,5.7168,7.92,96,58,2.61,NO,1667767032
147,tecoanapa,16.5167,-98.75,29.86,68,11,3.93,MX,1667767033
148,rundu,-17.9333,19.7667,23.79,58,60,2.28,NA,1667767033
149,bengkulu,-3.8004,102.2655,24.39,86,100,2.25,ID,1667766701
150,mahebourg,-20.4081,57.7,23.16,73,40,3.6,MU,1667766767
151,nanortalik,60.1432,-45.2371,-0.3,92,85,1.67,GL,1667766720
152,marienburg,54.0359,19.0266,6.6,86,18,4.79,PL,1667766818
153,shirokiy,49.758,129.523,-9.59,93,10,1.48,RU,1667767034
154,usinsk,65.9939,57.5281,-0.11,99,100,3.81,RU,1667767034
155,santa cruz,-17.8,-63.1667,33.7,29,20,2.06,BO,1667767035
156,niksic,42.7731,18.9445,7.04,88,14,1.88,ME,1667767035
157,zhigansk,66.7697,123.3711,-30.64,99,44,1.65,RU,1667767035
158,civita castellana,42.2952,12.4092,14.38,68,14,1.34,IT,1667767036
159,pekan,3.4836,103.3996,26.09,92,100,2.0,MY,1667767036
160,catuday,16.2923,119.8062,25.33,81,11,3.68,PH,1667767036
161,zhangye,38.9342,100.4517,2.86,36,43,0.83,CN,1667767037
162,carballo,43.213,-8.691,16.12,92,40,3.44,ES,1667767037
163,serrana,-21.2114,-47.5956,25.97,63,63,1.69,BR,1667767038
164,korla,41.7597,86.1469,9.83,37,100,1.68,CN,1667766715
165,saldanha,-33.0117,17.9442,17.03,91,100,3.34,ZA,1667766794
166,teya,60.3778,92.6267,-3.51,96,100,0.59,RU,1667767039
167,port hardy,50.6996,-127.4199,4.1,93,75,9.77,CA,1667766621
168,dingle,10.9995,122.6711,24.26,93,70,2.65,PH,1667766664
169,sao filipe,14.8961,-24.4956,26.16,68,0,2.69,CV,1667766756
170,port augusta,-32.5,137.7667,20.6,38,0,1.41,AU,1667767039
171,rudnichnyy,59.617,52.4703,-5.11,97,23,2.06,RU,1667767040
172,kangaatsiaq,68.3065,-53.4641,-4.0,69,100,5.67,GL,1667767040
173,port-gentil,-0.7193,8.7815,24.98,94,20,1.03,GA,1667766735
174,iqaluit,63.7506,-68.5145,-11.15,67,20,3.09,CA,1667766510
175,clyde river,70.4692,-68.5914,-18.87,65,0,3.09,CA,1667766749
176,mount vernon,40.9126,-73.8371,23.21,74,100,4.12,US,1667767041
177,barahona,18.2085,-71.1008,30.9,79,20,5.14,DO,1667767041
178,victor harbor,-35.5667,138.6167,18.16,63,0,2.84,AU,1667766737
179,tommot,58.9564,126.2925,-12.31,95,100,2.35,RU,1667766720
180,kamenka,51.3223,42.7678,-0.21,77,8,2.02,RU,1667766692
181,bethel,41.3712,-73.414,22.33,81,100,0.89,US,1667766668
182,alice springs,-23.7,133.8833,15.75,27,2,0.0,AU,1667766649
183,itarema,-2.9248,-39.9167,26.31,77,91,6.55,BR,1667766700
184,lethbridge,49.7,-112.8186,-7.73,73,100,3.6,CA,1667767043
185,nynashamn,58.9034,17.9479,10.06,90,100,6.65,SE,1667767043
186,moussoro,13.6408,16.4901,28.11,17,10,4.42,TD,1667767043
187,berlevag,70.8578,29.0864,3.0,75,0,5.14,NO,1667767044
188,deputatskiy,69.3,139.9,-20.01,88,100,9.68,RU,1667766673
189,kavieng,-2.5744,150.7967,28.65,70,100,2.64,PG,1667766713
190,port blair,11.6667,92.75,26.94,75,99,5.04,IN,1667766698
191,bitung,1.4451,125.1824,23.47,80,100,1.81,ID,1667766992
192,vila,42.0304,-8.1588,9.49,91,53,2.4,PT,1667767045
193,bacolod,10.6667,122.95,25.39,87,91,2.54,PH,1667767045
194,berbera,10.4396,45.0143,26.09,67,5,1.31,SO,1667767045
195,olafsvik,64.8945,-23.7142,5.6,64,1,4.29,IS,1667766752
196,tambacounda,13.7539,-13.7586,28.03,54,0,1.03,SN,1667767046
197,channel-port aux basques,47.5702,-59.1367,12.11,91,100,2.68,CA,1667767046
198,kedrovyy,56.1667,91.8167,-1.74,72,89,5.58,RU,1667767046
199,rio grande,-32.035,-52.0986,22.06,77,5,6.41,BR,1667766790
